Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"FSL","201.00","204.80","198.20","198.90","-0.30","-0.15","26.64","53.80","242.85","66.50","165.38","8.10"
"IDFC","55.60","55.80","54.75","55.25","-0.10","-0.18","44.93","24.75","62.90","28.20","75.12","18.95"
"CDSL","1,285.00","1,300.00","1,263.00","1,270.00","-3.60","-0.28","1.32","16.82","1,579.00","439.50","-","-"
"FRETAIL","48.00","48.45","47.65","47.80","-0.15","-0.31","5.63","2.70","95.30","40.55","-44.87","10.01"
"UTIAMC","1,121.95","1,128.90","1,100.95","1,106.90","-4.65","-0.42","0.87","9.62","1,216.20","471.10","-","-"
"ALOKINDS","23.10","23.20","22.90","22.90","-0.10","-0.43","20.20","4.64","32.25","18.65","-6.53","8.02"
"RVNL","30.25","30.40","30.10","30.10","-0.15","-0.50","8.28","2.50","35.55","18.05","56.36","8.47"
"BDL","389.65","393.35","385.05","387.50","-2.15","-0.55","1.31","5.12","429.20","283.05","31.62","2.62"
"COCHINSHIP","365.60","365.70","361.50","361.55","-2.20","-0.60","0.62","2.24","433.90","303.60","15.86","3.80"
"AARTIDRUGS","621.00","623.85","613.00","615.50","-4.05","-0.65","0.68","4.21","1,026.95","580.00","-78.50","0.33"
"AMBER","3,135.00","3,172.05","3,100.50","3,109.30","-22.75","-0.73","0.32","9.99","3,662.00","1,865.00","55.98","10.90"
"RADICO","904.25","911.50","888.45","890.00","-10.45","-1.16","1.87","16.83","965.00","384.00","114.95","2.46"
"WOCKPHARMA","435.20","435.25","425.50","427.40","-5.60","-1.29","2.01","8.65","804.90","266.00","53.49","-4.44"
"INDIANB","131.95","132.90","129.50","130.20","-1.75","-1.33","15.58","20.49","157.00","53.10","127.82","10.62"
"NBCC","47.60","47.90","46.10","46.30","-0.70","-1.49","83.17","39.05","59.80","22.20","94.13","4.87"
"PNBHOUSING","671.00","674.40","655.00","659.95","-10.40","-1.55","0.37","2.45","925.00","310.00","102.31","-18.60"
"NATIONALUM","91.00","91.65","89.20","89.60","-1.45","-1.59","180.04","162.79","102.45","29.10","181.76","11.44"
"GRAPHITE","614.00","614.00","600.00","600.85","-10.05","-1.65","1.47","8.87","815.90","163.15","257.76","-0.34"
"CANFINHOME","681.50","686.60","661.60","667.80","-13.35","-1.96","8.75","58.80","691.00","391.25","60.68","32.58"
"TV18BRDCST","39.25","39.30","37.85","38.10","-0.80","-2.06","25.27","9.73","48.95","26.25","29.81","10.27"
"STAR","615.00","619.25","600.15","601.00","-13.95","-2.27","3.54","21.51","999.00","562.55","-8.66","2.32"
"CEATLTD","1,369.00","1,369.00","1,327.00","1,328.55","-35.85","-2.63","1.55","20.77","1,763.00","876.10","46.04","2.13"
"APLAPOLLO","924.95","925.00","885.00","888.00","-25.75","-2.82","1.16","10.51","1,044.70","250.51","-65.37","-41.41"
"PVR","1,559.00","1,559.00","1,510.10","1,520.05","-49.35","-3.14","8.13","124.66","1,632.00","988.35","36.16","14.79"
"BAJAJELEC","1,544.75","1,548.60","1,472.00","1,473.50","-58.30","-3.81","1.66","24.87","1,588.95","448.00","217.84","29.41"

